"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,25825.00,107.00,81.00,222.00,36.00,692.00,140.00,117.00,"Delta Air Lines Inc.","DL","ABE","ATL",6,"620",1,1999,3,9,2,"F",
0.00,1.00,25825.00,119.00,103.00,0.00,0.00,398.00,79.00,64.00,"Delta Air Lines Inc.","DL","ABE","GSO",6,"620",1,1999,3,9,1,"F",
0.00,2.00,50900.00,200.00,177.00,0.00,0.00,82.00,119.00,73.00,"Northwest Airlines Inc.","NW","ABE","LGA",6,"640",1,1999,3,9,1,"F",
0.00,1.00,25825.00,107.00,13.00,404.00,0.00,77.00,29.00,18.00,"Delta Air Lines Inc.","DL","ABE","MDT",6,"620",1,1999,3,9,1,"F",
0.00,3.00,78120.00,332.00,256.00,230.00,1203.00,349.00,202.00,160.00,"United Air Lines Inc.","UA","ABQ","DEN",6,"616",1,1999,3,9,1,"F",
0.00,1.00,38440.00,150.00,116.00,0.00,253.00,1347.00,176.00,158.00,"Northwest Airlines Inc.","NW","ABQ","DTW",6,"694",1,1999,3,9,3,"F",
0.00,1.00,34100.00,137.00,14.00,0.00,0.00,1161.00,154.00,140.00,"Southwest Airlines Co.","WN","ABQ","IND",6,"619",1,1999,3,9,3,"F",
0.00,1.00,50949.00,183.00,158.00,1750.00,6272.00,487.00,80.00,60.00,"Continental Air Lines Inc.","CO","ABQ","LAS",6,"622",1,1999,3,9,1,"F",
0.00,1.00,34100.00,137.00,66.00,0.00,0.00,1121.00,163.00,135.00,"Southwest Airlines Co.","WN","ABQ","MDW",6,"619",1,1999,3,9,3,"F",
0.00,1.00,37400.00,124.00,101.00,0.00,0.00,328.00,102.00,72.00,"America West Airlines Inc.","HP","ABQ","PHX",6,"698",1,1999,3,9,1,"F",
0.00,1.00,50340.00,180.00,175.00,1367.00,1145.00,934.00,147.00,128.00,"Trans World Airways LLC","TW","ABQ","STL",6,"622",1,1999,3,9,2,"F",
0.00,1.00,15617.00,66.00,31.00,0.00,0.00,146.00,58.00,45.00,"ExpressJet Airlines LLC","EV","ABY","ATL",4,"442",1,1999,3,9,1,"F",
0.00,3.00,93366.00,168.00,149.00,8223.00,2017.00,1192.00,445.00,419.00,"Reeve Aleutian Airways Inc.","RV","ADK","ANC",7,"711",3,1999,3,9,3,"F",
0.00,27.00,771150.00,1486.00,1173.00,284104.00,1287.00,252.00,1340.00,1097.00,"Alaska Airlines Inc.","AS","ADQ","ANC",6,"621",3,1999,3,9,1,"F",
0.00,1.00,6313.00,30.00,2.00,0.00,0.00,500.00,132.00,117.00,"ExpressJet Airlines LLC","EV","AEX","ATL",4,"461",1,1999,3,9,2,"F",
0.00,1.00,36300.00,149.00,47.00,0.00,0.00,143.00,63.00,39.00,"Delta Air Lines Inc.","DL","AGS","ATL",7,"715",1,1999,3,9,1,"F",
0.00,15.00,417960.00,1000.00,546.00,5423.00,0.00,289.00,835.00,684.00,"Alaska Airlines Inc.","AS","AKN","ANC",6,"621",3,1999,3,9,1,"F",
0.00,2.00,45346.00,118.00,102.00,1406.00,1236.00,289.00,119.00,110.00,"Reeve Aleutian Airways Inc.","RV","AKN","ANC",5,"550",3,1999,3,9,1,"F",
0.00,2.00,36275.00,144.00,41.00,1177.00,9116.00,332.00,151.00,136.00,"Reeve Aleutian Airways Inc.","RV","AKN","CDB",5,"550",3,1999,3,9,1,"F",
0.00,16.00,448100.00,1040.00,627.00,29237.00,37881.00,71.00,429.00,297.00,"Alaska Airlines Inc.","AS","AKN","DLG",6,"621",3,1999,3,9,1,"F",
0.00,1.00,35200.00,140.00,24.00,2592.00,537.00,71.00,31.00,19.00,"Alaska Airlines Inc.","AS","AKN","DLG",6,"617",1,1999,3,9,1,"F",
0.00,1.00,10800.00,50.00,0.00,0.00,0.00,424.00,103.00,89.00,"ExpressJet Airlines Inc.","RU","ALB","CLE",6,"675",1,1999,3,9,1,"F",
0.00,2.00,52080.00,216.00,170.00,106.00,0.00,723.00,231.00,204.00,"United Air Lines Inc.","UA","ALB","ORD",6,"616",1,1999,3,9,2,"F",
0.00,1.00,35940.00,144.00,21.00,0.00,0.00,723.00,120.00,101.00,"United Air Lines Inc.","UA","ALB","ORD",6,"694",1,1999,3,9,2,"F",
0.00,1.00,29383.00,56.00,39.00,3896.00,9957.00,1192.00,173.00,147.00,"Reeve Aleutian Airways Inc.","RV","ANC","ADK",7,"711",3,1999,3,9,3,"F",
0.00,27.00,771150.00,1486.00,727.00,140303.00,83421.00,252.00,1479.00,1150.00,"Alaska Airlines Inc.","AS","ANC","ADQ",6,"621",3,1999,3,9,1,"F",
0.00,31.00,866060.00,2040.00,927.00,77034.00,108607.00,289.00,1844.00,1433.00,"Alaska Airlines Inc.","AS","ANC","AKN",6,"621",3,1999,3,9,1,"F",
0.00,1.00,35200.00,140.00,23.00,711.00,1222.00,289.00,58.00,46.00,"Alaska Airlines Inc.","AS","ANC","AKN",6,"617",1,1999,3,9,1,"F",
0.00,2.00,32045.00,144.00,51.00,1747.00,9116.00,289.00,137.00,115.00,"Reeve Aleutian Airways Inc.","RV","ANC","AKN",5,"550",3,1999,3,9,1,"F",
0.00,80.00,2272610.00,4586.00,2775.00,235672.00,545548.00,399.00,5806.00,4750.00,"Alaska Airlines Inc.","AS","ANC","BET",6,"621",3,1999,3,9,1,"F",
0.00,2.00,41546.00,118.00,69.00,8128.00,4602.00,621.00,257.00,228.00,"Reeve Aleutian Airways Inc.","RV","ANC","CDB",5,"550",3,1999,3,9,2,"F",
0.00,10.00,272570.00,720.00,498.00,37084.00,12770.00,160.00,489.00,301.00,"Alaska Airlines Inc.","AS","ANC","CDV",6,"621",3,1999,3,9,1,"F",
0.00,19.00,677400.00,2660.00,774.00,52584.00,32334.00,160.00,940.00,663.00,"Alaska Airlines Inc.","AS","ANC","CDV",6,"617",1,1999,3,9,1,"F",
0.00,3.00,75651.00,144.00,64.00,12950.00,26241.00,329.00,197.00,162.00,"Reeve Aleutian Airways Inc.","RV","ANC","DLG",7,"711",3,1999,3,9,1,"F",
0.00,11.00,309530.00,620.00,393.00,31254.00,48684.00,329.00,697.00,545.00,"Alaska Airlines Inc.","AS","ANC","DLG",6,"621",3,1999,3,9,1,"F",
0.00,52.00,1439330.00,3488.00,1828.00,121642.00,65252.00,792.00,6464.00,5758.00,"Alaska Airlines Inc.","AS","ANC","DUT",6,"621",3,1999,3,9,2,"F",
0.00,75.00,2148970.00,3968.00,2726.00,245437.00,73373.00,261.00,3969.00,3075.00,"Alaska Airlines Inc.","AS","ANC","FAI",6,"621",3,1999,3,9,1,"F",
0.00,2.00,502000.00,0.00,0.00,389540.00,0.00,3385.00,804.00,741.00,"Evergreen International Inc.","EZ","ANC","JFK",8,"817",2,1999,3,9,7,"P",
0.00,21.00,580230.00,1512.00,1102.00,106414.00,9208.00,571.00,1992.00,1677.00,"Alaska Airlines Inc.","AS","ANC","JNU",6,"621",3,1999,3,9,2,"F",
0.00,2.00,410000.00,0.00,0.00,409620.00,0.00,3127.00,747.00,693.00,"Evergreen International Inc.","EZ","ANC","LCK",8,"816",2,1999,3,9,7,"P",
0.00,1.00,251000.00,0.00,0.00,225560.00,0.00,3127.00,386.00,347.00,"Evergreen International Inc.","EZ","ANC","LCK",8,"817",2,1999,3,9,7,"P",
0.00,1.00,251000.00,0.00,0.00,177540.00,0.00,1988.00,244.00,219.00,"Evergreen International Inc.","EZ","ANC","MHR",8,"817",2,1999,3,9,4,"P",
0.00,34.00,994430.00,1518.00,974.00,143196.00,272223.00,539.00,3082.00,2613.00,"Alaska Airlines Inc.","AS","ANC","OME",6,"621",3,1999,3,9,2,"F",
